,Game,Year,Earnings
328,Dota 2,2011,1672268.08
329,Dota 2,2012,2087094.85
330,Dota 2,2013,4543141.76
331,Dota 2,2014,16608030.59
332,Dota 2,2015,31050786.86
333,Dota 2,2016,37464419.92
334,Dota 2,2017,38074599.32
335,Dota 2,2018,41457368.99
336,Dota 2,2019,47009635.94
337,Dota 2,2020,5488982.15
248,Counter-Strike: Global Offensive,2012,222538.77000000002
249,Counter-Strike: Global Offensive,2013,1211869.54
250,Counter-Strike: Global Offensive,2014,1962515.01
251,Counter-Strike: Global Offensive,2015,6284970.14
252,Counter-Strike: Global Offensive,2016,17266132.5
253,Counter-Strike: Global Offensive,2017,19270081.810000002
254,Counter-Strike: Global Offensive,2018,23224809.490000002
255,Counter-Strike: Global Offensive,2019,21918116.55
256,Counter-Strike: Global Offensive,2020,7534648.15
404,Fortnite,2018,20055313.34
405,Fortnite,2019,66905204.0
406,Fortnite,2020,3076760.0
514,Hearthstone,2013,1395.34
515,Hearthstone,2014,1123245.18
516,Hearthstone,2015,2372583.73
517,Hearthstone,2016,3455125.46
518,Hearthstone,2017,3476623.09
519,Hearthstone,2018,4711852.27
520,Hearthstone,2019,4770261.85
521,Hearthstone,2020,1744250.0
726,Overwatch,2015,3320.0
727,Overwatch,2016,1996942.76
728,Overwatch,2017,3488230.1
729,Overwatch,2018,6615791.65
730,Overwatch,2019,9608186.77
731,Overwatch,2020,336862.0
532,Heroes of the Storm,2014,14257.5
533,Heroes of the Storm,2015,2470686.83
534,Heroes of the Storm,2016,4663149.1
535,Heroes of the Storm,2017,5444449.54
536,Heroes of the Storm,2018,5277279.76
537,Heroes of the Storm,2019,296276.0
538,Heroes of the Storm,2020,4035.0
584,League of Legends,2010,27942.64
585,League of Legends,2011,526574.51
586,League of Legends,2012,4287209.14
587,League of Legends,2013,6226159.63
588,League of Legends,2014,8057290.99
589,League of Legends,2015,7717807.16
590,League of Legends,2016,10529059.95
591,League of Legends,2017,12225701.03
592,League of Legends,2018,14558458.520000001
593,League of Legends,2019,9383949.530000001
594,League of Legends,2020,3177276.49
69,Arena of Valor,2017,716852.0
70,Arena of Valor,2018,5190956.76
71,Arena of Valor,2019,7821265.46
72,Arena of Valor,2020,827021.4099999999
954,StarCraft II,2010,820839.29
955,StarCraft II,2011,3179864.09
956,StarCraft II,2012,4200057.72
957,StarCraft II,2013,3846316.26
958,StarCraft II,2014,3471338.3000000003
959,StarCraft II,2015,3017759.2399999998
960,StarCraft II,2016,3182918.35
961,StarCraft II,2017,3413355.85
962,StarCraft II,2018,4024730.6500000004
963,StarCraft II,2019,3124852.59
964,StarCraft II,2020,869440.74
735,PLAYERUNKNOWNS BATTLEGROUNDS,2017,1007803.6
736,PLAYERUNKNOWNS BATTLEGROUNDS,2018,8319226.319999999
737,PLAYERUNKNOWNS BATTLEGROUNDS,2019,11267221.08
738,PLAYERUNKNOWNS BATTLEGROUNDS,2020,2739127.57
